wallet,predicted_score,risk_category
User_741,172.16,High
User_742,31.89,High
User_743,20.0,High
User_744,528.91,Medium
User_745,20.0,High
User_746,245.61,High
User_747,62.61,High
User_748,20.0,High
User_749,20.0,High
User_750,10.1,High
User_751,51.57,High
User_752,20.0,High
User_753,605.04,Medium
User_754,709.8,Low
User_755,999.87,Low
User_756,40.07,High
User_757,213.28,High
User_758,116.77,High
User_759,20.0,High
User_760,10.1,High
User_761,20.0,High
User_762,408.84,Medium
User_763,10.1,High
User_764,20.0,High
User_765,20.0,High
User_766,20.0,High
User_767,20.0,High
User_768,478.74,Medium
User_769,150.14,High
User_770,20.0,High
User_771,396.66,High
User_772,64.48,High
User_773,20.0,High
User_774,984.32,Low
User_775,12.07,High
User_776,334.77,High
User_777,1000.0,Low
User_778,1000.0,Low
User_779,79.87,High
User_780,166.65,High
User_781,10.1,High
User_782,210.98,High
User_783,20.0,High
User_784,374.91,High
User_785,72.95,High
User_786,40.07,High
User_787,40.07,High
User_788,42.78,High
User_789,10.1,High
User_790,20.0,High
User_791,20.0,High
User_792,12.07,High
User_793,60.13,High
User_794,20.0,High
User_795,20.0,High
User_796,20.0,High
User_797,20.0,High
User_798,12.07,High
User_799,20.0,High
User_800,20.0,High
User_801,20.0,High
User_802,20.0,High
User_803,134.59,High
User_804,20.0,High
User_805,59.86,High
User_806,140.97,High
User_807,51.16,High
User_808,40.07,High
User_809,78.01,High
User_810,197.2,High
User_811,40.07,High
User_812,20.0,High
User_813,40.07,High
User_814,59.86,High
User_815,20.0,High
User_816,20.0,High
User_817,69.26,High
User_818,20.0,High
User_819,37.19,High
User_820,206.43,High
User_821,20.0,High
User_822,10.1,High
User_823,20.0,High
User_824,10.1,High
User_825,0.66,High
User_826,20.0,High
User_827,1000.0,Low
User_828,26.5,High
User_829,103.93,High
User_830,40.07,High
User_831,10.1,High
User_832,10.1,High
User_833,539.62,Medium
User_834,229.19,High
User_835,779.1,Low
User_836,20.0,High
User_837,10.1,High
User_838,352.29,High
User_839,20.0,High
User_840,20.0,High
User_841,20.0,High
User_842,40.07,High
User_843,40.07,High
User_844,20.0,High
User_845,20.0,High
User_846,520.25,Medium
User_847,10.1,High
User_848,464.97,Medium
User_849,368.08,High
User_850,132.37,High
User_851,10.1,High
User_852,60.13,High
User_853,64.48,High
User_854,20.0,High
User_855,999.96,Low
User_856,20.0,High
User_857,438.42,Medium
User_858,10.1,High
User_859,41.74,High
User_860,31.89,High
User_861,20.0,High
User_862,149.31,High
User_863,20.0,High
User_864,181.79,High
User_865,20.0,High
User_866,40.07,High
User_867,207.63,High
User_868,999.96,Low
User_869,20.0,High
User_870,40.07,High
User_871,20.0,High
User_872,347.76,High
User_873,20.0,High
User_874,20.0,High
User_875,10.1,High
User_876,281.06,High
User_877,20.0,High
User_878,20.0,High
User_879,59.86,High
User_880,47.25,High
User_881,156.42,High
User_882,12.07,High
User_883,20.0,High
User_884,20.0,High
User_885,40.07,High
User_886,843.07,Low
User_887,999.25,Low
User_888,40.07,High
User_889,31.89,High
User_890,138.76,High
User_891,51.16,High
User_892,20.64,High
User_893,20.0,High
User_894,117.82,High
User_895,999.54,Low
User_896,425.21,Medium
User_897,37.19,High
User_898,40.07,High
User_899,10.1,High
User_900,89.87,High
User_901,946.32,Low
User_902,591.13,Medium
User_903,10.1,High
User_904,10.1,High
User_905,20.0,High
User_906,37.19,High
User_907,20.0,High
User_908,20.0,High
User_909,342.31,High
User_910,89.33,High
User_911,69.26,High
User_912,12.07,High
User_913,1000.0,Low
User_914,79.88,High
User_915,29.6,High
User_916,20.0,High
User_917,10.1,High
User_918,20.0,High
User_919,1000.0,Low
User_920,42.78,High
User_921,20.0,High
User_922,10.1,High
User_923,10.1,High
User_924,20.0,High
User_925,102.85,High
User_926,96.79,High
User_927,40.07,High
User_928,162.05,High
User_929,20.0,High
User_930,257.6,High
User_931,999.66,Low
User_932,69.3,High
User_933,134.25,High
User_934,31.89,High
User_935,20.0,High
User_936,59.86,High
User_937,20.0,High
User_938,10.1,High
User_939,0.0,High
User_940,20.0,High
User_941,999.96,Low
User_942,20.0,High
User_943,20.0,High
User_944,261.28,High
User_945,10.1,High
User_946,69.26,High
User_947,40.07,High
User_948,37.19,High
User_949,898.65,Low
User_950,1000.0,Low
User_951,20.0,High
User_952,40.07,High
User_953,20.0,High
User_954,207.2,High
User_955,242.25,High
User_956,20.0,High
User_957,20.0,High
User_958,20.0,High
User_959,25.38,High
User_960,31.89,High
User_961,693.26,Medium
User_962,91.36,High
User_963,706.68,Low
User_964,284.02,High
User_965,12.07,High
User_966,140.12,High
User_967,1000.0,Low
User_968,192.4,High
User_969,20.0,High
User_970,59.18,High
User_971,999.74,Low
User_972,20.0,High
User_973,10.1,High
User_974,20.0,High
User_975,20.0,High
User_976,20.0,High
User_977,226.94,High
User_978,486.26,Medium
User_979,20.0,High
User_980,114.55,High
User_981,518.88,Medium
User_982,51.16,High
User_983,20.0,High
User_984,10.1,High
User_985,10.1,High
User_986,37.19,High
User_987,98.53,High
User_988,20.0,High
User_989,80.41,High
User_990,788.2,Low
User_991,0.61,High
User_992,20.0,High
User_993,40.07,High
User_994,20.0,High
User_995,20.0,High
User_996,1000.0,Low
User_997,70.64,High
User_998,20.0,High
User_999,20.0,High
User_1000,10.1,High
User_1001,49.45,High
User_1002,999.98,Low
User_1003,42.78,High
User_1004,431.68,Medium
User_1005,20.0,High
User_1006,84.84,High
User_1007,41.74,High
User_1008,157.37,High
User_1009,999.59,Low
User_1010,10.1,High
User_1011,999.7,Low
User_1012,47.61,High
User_1013,20.0,High
User_1014,12.07,High
User_1015,31.89,High
User_1016,10.1,High
User_1017,40.07,High
User_1018,20.0,High
User_1019,994.92,Low
User_1020,20.0,High
User_1021,12.07,High
User_1022,12.07,High
User_1023,60.34,High
User_1024,31.89,High
User_1025,20.0,High
User_1026,172.68,High
User_1027,1000.0,Low
User_1028,161.69,High
User_1029,20.0,High
User_1030,40.07,High
User_1031,20.0,High
User_1032,37.19,High
User_1033,20.0,High
User_1034,20.0,High
User_1035,20.0,High
User_1036,134.56,High
User_1037,181.67,High
User_1038,40.07,High
User_1039,20.0,High
User_1040,809.1,Low
User_1041,37.19,High
User_1042,903.9,Low
User_1043,10.1,High
User_1044,40.07,High
User_1045,20.0,High
User_1046,37.19,High
User_1047,80.39,High
User_1048,1000.0,Low
User_1049,24.1,High
User_1050,20.0,High
User_1051,123.85,High
User_1052,10.1,High
User_1053,20.0,High
User_1054,10.1,High
User_1055,37.19,High
User_1056,37.19,High
User_1057,85.37,High
User_1058,1000.0,Low
User_1059,87.95,High
User_1060,40.07,High
User_1061,31.89,High
User_1062,10.1,High
User_1063,97.38,High
User_1064,1000.0,Low
User_1065,107.06,High
User_1066,20.0,High
User_1067,20.0,High
User_1068,35.85,High
User_1069,40.07,High
User_1070,82.0,High
User_1071,175.71,High
User_1072,20.0,High
User_1073,51.16,High
User_1074,40.07,High
User_1075,31.89,High
User_1076,141.82,High
User_1077,59.86,High
User_1078,20.0,High
User_1079,35.85,High
User_1080,20.0,High
User_1081,1000.0,Low
User_1082,174.87,High
User_1083,280.48,High
User_1084,20.0,High
User_1085,212.41,High
User_1086,118.52,High
User_1087,20.0,High
User_1088,20.0,High
User_1089,20.0,High
User_1090,20.0,High
User_1091,1000.0,Low
User_1092,20.0,High
User_1093,54.57,High
User_1094,20.0,High
User_1095,12.07,High
User_1096,20.0,High
User_1097,24.1,High
User_1098,203.87,High
User_1099,20.0,High
User_1100,80.39,High
User_1101,998.49,Low
User_1102,55.97,High
User_1103,523.73,Medium
User_1104,20.0,High
User_1105,40.07,High
User_1106,40.07,High
User_1107,173.84,High
User_1108,20.0,High
User_1109,21.75,High
User_1110,20.0,High
User_1111,37.19,High
User_1112,189.8,High
User_1113,761.91,Low
User_1114,999.96,Low
User_1115,40.07,High
User_1116,139.35,High
User_1117,261.43,High
User_1118,40.07,High
User_1119,573.27,Medium
User_1120,59.86,High
User_1121,20.0,High
User_1122,40.07,High
User_1123,31.89,High
User_1124,72.95,High
User_1125,31.89,High
User_1126,37.19,High
User_1127,20.0,High
User_1128,51.16,High
User_1129,20.0,High
User_1130,86.1,High
User_1131,461.64,Medium
User_1132,999.79,Low
User_1133,85.37,High
User_1134,52.11,High
User_1135,31.89,High
User_1136,91.62,High
User_1137,20.0,High
User_1138,89.33,High
User_1139,31.89,High
User_1140,95.41,High
User_1141,59.86,High
User_1142,72.3,High
User_1143,20.0,High
User_1144,20.0,High
User_1145,40.28,High
User_1146,20.0,High
User_1147,49.95,High
User_1148,454.69,Medium
User_1149,31.89,High
User_1150,194.89,High
User_1151,20.0,High
User_1152,20.0,High
User_1153,20.0,High
User_1154,32.61,High
User_1155,20.0,High
User_1156,173.28,High
User_1157,37.19,High
User_1158,274.71,High
User_1159,20.0,High
User_1160,752.17,Low
User_1161,24.1,High
User_1162,361.44,High
User_1163,20.0,High
User_1164,559.49,Medium
User_1165,40.07,High
User_1166,999.97,Low
User_1167,59.76,High
User_1168,533.2,Medium
User_1169,20.0,High
User_1170,20.0,High
User_1171,136.68,High
User_1172,10.1,High
User_1173,999.34,Low
User_1174,20.0,High
User_1175,407.82,Medium
User_1176,20.0,High
User_1177,24.1,High
User_1178,20.0,High
User_1179,40.07,High
User_1180,129.5,High
User_1181,25.38,High
User_1182,38.23,High
User_1183,20.0,High
